Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Frame, D., Hughson, E., Leach, J.C.","57191908755; 6602858723; 7201931710","Why expertise is important for the detection of abnormal performance: The hot hand strikes back",2016,"Journal of Accounting, Auditing and Finance",31,"4",,428,440,,,10.1177/0148558X16628933,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994796709&partnerID=40&md5=9e232b8e27051b914d163dda0ced53d1",Article,Final,"",Scopus,2-s2.0-84994796709
"Fox, M., Herman, F., Willett, S.D., Schmid, S.M.","55274373000; 24759000200; 7003879389; 54400459700","The exhumation history of the European alps inferred from linear inversion of thermochronometric data",2016,"American Journal of Science",316,"6",,505,541,,33,10.2475/06.2016.01,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978472947&partnerID=40&md5=365922ec7646bceec2281e9d1027f806",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84978472947
"Fournel, A.P., Reynaud, E., Brammer, M.J., Simmons, A., Ginestet, C.E.","48361087300; 15056570000; 7006746119; 7101619950; 54901114800","Group analysis of self-organizing maps based on functional MRI using restricted Frechet means",2013,"NeuroImage",76,"",,373,385,,5,10.1016/j.neuroimage.2013.02.043,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84876340190&partnerID=40&md5=fafb7655d53d8e35bc620e475eeb0b2d",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84876340190
"Fortin, J.-P., Parker, D., Tunç, B., Watanabe, T., Elliott, M.A., Ruparel, K., Roalf, D.R., Satterthwaite, T.D., Gur, R.C., Gur, R.E., Schultz, R.T., Verma, R., Shinohara, R.T.","56649768000; 55452991000; 36062061700; 55700138300; 7402622376; 9745660700; 6507586174; 18537988600; 57191447497; 7103065698; 7401556290; 8379036400; 39262570100","Harmonization of multi-site diffusion tensor imaging data",2017,"NeuroImage",161,"",,149,170,,224,10.1016/j.neuroimage.2017.08.047,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027888929&partnerID=40&md5=47e1590f6c3ccde44ee47b616c4fd4dd",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85027888929
"Forst Th., H.","7006334794","Problems of simultaneous statistical inference in drug research | PROBLEME DES MULTIPLEN TESTENS UND SCHATZENS IN DER ARZNEIMITTELFORSCHUNG",1985,"Arzneimittel-Forschung/Drug Research",35,"3",,563,567,,29,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0021949709&partnerID=40&md5=da8ccae130b9ae689321f8d3c361aa95",Article,Final,"",Scopus,2-s2.0-0021949709
"Formby, J.P., Smith, W.J., Zheng, B.","7003953338; 7406471851; 7201781524","Mobility measurement, transition matrices and statistical inference",2004,"Journal of Econometrics",120,"1",,181,205,,35,10.1016/S0304-4076(03)00211-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-1542505323&partnerID=40&md5=eef5d9a669e203a9606db58c2fde1c49",Article,Final,"",Scopus,2-s2.0-1542505323
"Formby, J., Kim, H., Zheng, B.","7003953338; 56813036900; 7201781524","Sen measures of poverty in the United States: Cash versus comprehensive incomes in the 1990s",2001,"Pacific Economic Review",6,"2",,193,210,,4,10.1111/1468-0106.00127,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0034997427&partnerID=40&md5=d36d2de87113ba11b7b70a299d34a8b1",Article,Final,"",Scopus,2-s2.0-0034997427
"Forgas, J.P., Locke, J.","7003952922; 55788137600","Affective influences on causal inferences: The effects of mood on attributions for positive and negative interpersonal episodes",2005,"Cognition and Emotion",19,"7",,1071,1081,,34,10.1080/02699930541000093,"https://www.scopus.com/inward/record.url?eid=2-s2.0-28244494732&partnerID=40&md5=7d699bef5dc3392e1329bc46e30170e5",Article,Final,"",Scopus,2-s2.0-28244494732
"Ford, G.S.","7202876197","Electricity rates and the funding of municipal broadband networks: An empirical analysis",2021,"Energy Economics",102,"", 105475,,,,,10.1016/j.eneco.2021.105475,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85111334468&partnerID=40&md5=0679cbd616bc0e0b229d8fa1f54b94f4",Article,Final,"",Scopus,2-s2.0-85111334468
"Forbes, S., Taunton, R.L.","7102524501; 6701830183","Reliability of aggregated organizational data: an evaluation of five empirical indices.",1994,"Journal of nursing measurement",2,"1",,37,48,,22,10.1891/1061-3749.2.1.37,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0028458490&partnerID=40&md5=6d37d989e5a3dd578c36f6617b14ab1a",Article,Final,"",Scopus,2-s2.0-0028458490
"Forber, P.","12760267100","Reconceiving eliminative inference",2011,"Philosophy of Science",78,"2",,185,208,,8,10.1086/659232,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79953708796&partnerID=40&md5=0aae7266e81e62637088f468179d455c",Article,Final,"",Scopus,2-s2.0-79953708796
"Fong, W.M., Yong, L.H.M.","7102816040; 7102590438","Chasing trends: Recursive moving average trading rules and internet stocks",2005,"Journal of Empirical Finance",12,"1",,43,76,,35,10.1016/j.jempfin.2003.07.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-12744262691&partnerID=40&md5=dda658f659175573555a51ccdb4e9ee8",Article,Final,"",Scopus,2-s2.0-12744262691
"Foissner, W., Stoeck, T., Agatha, S., Dunthorn, M.","7006913652; 6603680790; 6602725189; 15757155200","Intraclass evolution and classification of the Colpodea (Ciliophora)",2011,"Journal of Eukaryotic Microbiology",58,"5",,397,415,,26,10.1111/j.1550-7408.2011.00566.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053201473&partnerID=40&md5=c01db733bf0c1cacbb93d70723a7a55b",Article,Final,"All Open Access, Green",Scopus,2-s2.0-80053201473
"Fogarty, D., Bhaduri, S.N.","56018211200; 9336233600","Estimating price elasticity with sparse data: A bayesian approach",2016,"Advanced Business Analytics: Essentials for Developing a Competitive Advantage",,"",,113,130,,,10.1007/978-981-10-0727-9_9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85026438494&partnerID=40&md5=79e24e9f148a947b06c6e6bf08505cba",Book Chapter,Final,"",Scopus,2-s2.0-85026438494
"Foa, U.G.","6603249894","New developments in facet design and analysis",1965,"Psychological Review",72,"4",,262,274,,56,10.1037/h0021968,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0000113626&partnerID=40&md5=316e4a1dc5a2d3197cfe4267148e6345",Article,Final,"",Scopus,2-s2.0-0000113626
"Flores, J.A., Wu, J.Q., Stöckle, C.O., Ewing, R.P., Yang, X.","57218582649; 7409252027; 7004141677; 57218587136; 56493526600","Estimating river sediment discharge in the upper Mississippi River using landsat imagery",2020,"Remote Sensing",12,"15", 2370,,,,2,10.3390/RS12152370,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089668321&partnerID=40&md5=67ba5828df924ab3af3c847e54fa3a40",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85089668321
"Florens, J.-P., Marimoutou, V., Péguin-Feissolle, A.","55888574900; 6506259042; 6506562591","Econometric modeling and inference",2007,"Econometric Modeling and Inference",,"",,1,496,,10,10.1017/CBO9780511805592,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924440073&partnerID=40&md5=b62f9267a5707140078147107e86a76b",Book,Final,"",Scopus,2-s2.0-84924440073
"Flett, G.L., Vredenburg, K., Krames, L.","7006124431; 6602486645; 6602259931","The stability and clinical significance of distress: A rejoinder to Pepper and Coyne",1996,"Journal of Psychopathology and Behavioral Assessment",18,"2",,187,196,,,10.1007/BF02229117,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0029834765&partnerID=40&md5=07f5ddbc19c2162adab762b04ce67433",Article,Final,"",Scopus,2-s2.0-0029834765
"Fletcher, P.C., Dolan, R.J., Shallice, T., Frith, C.D., Frackowiak, R.S.J., Friston, K.J.","7202904117; 55027467100; 57204280404; 36051252900; 35400736400; 36080215500","Is multivariate analysis of PET data more revealing than the univariate approach? Evidence from a study of episodic memory retrieval",1996,"NeuroImage",3,"3 I",,209,215,,30,10.1006/nimg.1996.0023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0029889189&partnerID=40&md5=9f6b6e6f99334370d9c0720621186223",Article,Final,"All Open Access, Green",Scopus,2-s2.0-0029889189
"FLETCHER, H.J.","57225408129","POSSIBLE INTERPRETIVE PROBLEMS IN ANALYSES USING GROUP MEANS AS THE EXPERIMENTAL UNIT",1968,"Psychological Bulletin",69,"3",,157,160,,6,10.1037/h0025472,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0014267116&partnerID=40&md5=f7b10e1c35c16e082a921cebd565e93e",Article,Final,"",Scopus,2-s2.0-0014267116
"Fleming, S.W., Moore, R.D., Clarke, G.K.C.","35299191200; 7404935762; 7201904003","Glacier-mediated streamflow teleconnections to the Arctic Oscillation",2006,"International Journal of Climatology",26,"5",,619,636,,38,10.1002/joc.1273,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33646250927&partnerID=40&md5=17a3522aa0359f4004dfb8d083b5b366",Article,Final,"",Scopus,2-s2.0-33646250927
"Fleming, P.S., Koletsi, D., Polychronopoulou, A., Eliades, T., Pandis, N.","56502475500; 35219047100; 6602558232; 7004970689; 25626713700","Are clustering effects accounted for in statistical analysis in leading dental specialty journals?",2013,"Journal of Dentistry",41,"3",,265,270,,35,10.1016/j.jdent.2012.11.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84875218931&partnerID=40&md5=73e1db178f9c25d9d9f0ab4f54c3bc98",Article,Final,"",Scopus,2-s2.0-84875218931
"Fleissig, A.R., Rossana, R.J.","7003985277; 6602579737","Are consumption and government expenditures substitutes or complements? Morishima elasticity estimates from the Fourier flexible form",2003,"Economic Inquiry",41,"1",,132,146,,5,10.1093/ei/41.1.132,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0037258581&partnerID=40&md5=f9dc69a6110a5aebc8f1ba75f88c3887",Article,Final,"",Scopus,2-s2.0-0037258581
"Fleiss, J.L., Slakter, M.J., Fischman, S.L., Park, M.H., Chilton, N.W.","7005804528; 6603541799; 7005847360; 36871196500; 24579127100","Inter-examiner Reliability in Caries Trials",1979,"Journal of Dental Research",58,"2",,604,609,,68,10.1177/00220345790580021101,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0018425214&partnerID=40&md5=2d1760a880ffe1fbf1fa72af07dff20d",Article,Final,"",Scopus,2-s2.0-0018425214
"Fleig, H., Meiser, T., Ettlin, F., Rummel, J.","57193255438; 6603944175; 55328523700; 26327051800","Statistical numeracy as a moderator of (pseudo)contingency effects on decision behavior",2017,"Acta Psychologica",174,"",,68,79,,6,10.1016/j.actpsy.2017.01.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85012066416&partnerID=40&md5=42ed7ff2856cb381e1b8540fcc9252f4",Article,Final,"",Scopus,2-s2.0-85012066416
"Flay, S., Nott, J.","19337292900; 7006244142","Effect of ENSO on Queensland seasonal landfalling tropical cyclone activity",2007,"International Journal of Climatology",27,"10",,1327,1334,,12,10.1002/joc.1447,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34548030473&partnerID=40&md5=1ec74b3fb9144e6da1c5633c79058daa",Article,Final,"All Open Access, Green",Scopus,2-s2.0-34548030473
"Flaifel, M.H.","55208168300","An approach towards optimization appraisal of thermal conductivity of magnetic thermoplastic elastomeric nanocomposites using response surface methodology",2020,"Polymers",12,"9", 2030,,,,7,10.3390/POLYM12092030,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091651083&partnerID=40&md5=bc811b532c6c4fb75b5d451916609fc0",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85091651083
"Fitts, D.A.","7006719624","Misuse of ANOVA with cumulative intakes",2006,"Appetite",46,"1",,100,102,,18,10.1016/j.appet.2005.09.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-29944439580&partnerID=40&md5=96623b055bbcd63466f022998e0248e8",Article,Final,"",Scopus,2-s2.0-29944439580
"Fiske, S.T., Taylor, S.E.","7006543780; 57203543925","Social cognition evolves: Illustrations from our work on intergroup bias and on healthy adaptation | La cognición social evoluciona: Ilustraciones de nuestro trabajo sobre sesgo intergrupal y adaptación saludable.",2020,"Psicothema",32,"3",,291,297,,,10.7334/psicothema2020.197,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088624739&partnerID=40&md5=403c007ebbd102e22b67ea517687de63",Article,Final,"",Scopus,2-s2.0-85088624739
"Fisher, C.K., Mehta, P.","23099701900; 57203031161","Bayesian feature selection with strongly regularizing priors maps to the ising model",2015,"Neural Computation",27,"11",,2411,2422,,4,10.1162/NECO_a_00780,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945298458&partnerID=40&md5=3109ea49146cbcef1a54a0e6f81e0e29",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84945298458
"Fisher, A.J., Medaglia, J.D., Jeronimus, B.F.","24463669900; 35750354100; 55388320100","Lack of group-to-individual generalizability is a threat to human subjects research",2018,"Proceedings of the National Academy of Sciences of the United States of America",115,"27",,E6106,E6115,,288,10.1073/pnas.1711978115,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049381357&partnerID=40&md5=032b06138b5c6d6dd6a4783812130993",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85049381357
"Fiser, J., Berkes, P., Orbán, G., Lengyel, M.","7006147766; 8939206400; 7102725677; 7006336372","Statistically optimal perception and learning: from behavior to neural representations",2010,"Trends in Cognitive Sciences",14,"3",,119,130,,369,10.1016/j.tics.2010.01.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-76749113376&partnerID=40&md5=95f227f507b2c9cd3705c1f510632c73",Review,Final,"All Open Access, Green",Scopus,2-s2.0-76749113376
"Fiser, J.","7006147766","Perceptual learning and representational learning in humans and animals",2009,"Learning and Behavior",37,"2",,141,153,,18,10.3758/LB.37.2.141,"https://www.scopus.com/inward/record.url?eid=2-s2.0-67649408867&partnerID=40&md5=986039282930fef4e320c09fa6ff917c",Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-67649408867
"Fischer, B.J., Peña, J.L.","7402306624; 55434111500","Optimal nonlinear cue integration for sound localization",2017,"Journal of Computational Neuroscience",42,"1",,37,52,,6,10.1007/s10827-016-0626-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84990864321&partnerID=40&md5=f290615d491122c68b51be1407be79db",Article,Final,"All Open Access, Green",Scopus,2-s2.0-84990864321
"Fischer, B.J., Peña, J.L.","7402306624; 55434111500","Owl's behavior and neural representation predicted by Bayesian inference",2011,"Nature Neuroscience",14,"8",,1061,1066,,71,10.1038/nn.2872,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79960785849&partnerID=40&md5=0880e5f8b93209ce3e271b5fb7d09a02",Article,Final,"All Open Access, Green",Scopus,2-s2.0-79960785849
"Fischer, B., Roth, V., Roos, F., Grossmann, J., Baginsky, S., Widmayer, P., Gruissem, W., Buhmann, J.M.","55574221121; 7005561326; 55991369800; 9333123900; 6602108214; 7005954982; 35599078800; 7004241909","NovoHMM: A hidden Markov model for de novo peptide sequencing",2005,"Analytical Chemistry",77,"22",,7265,7273,,130,10.1021/ac0508853,"https://www.scopus.com/inward/record.url?eid=2-s2.0-27944456862&partnerID=40&md5=990aa7fb72e423deba157450cc081861",Article,Final,"",Scopus,2-s2.0-27944456862
"Fisch, R.D.","57197981620","Withdrawal time estimation of veterinary drugs: Extending the range of statistical methods",2000,"Journal of Veterinary Pharmacology and Therapeutics",23,"3",,159,162,,16,10.1046/j.1365-2885.2000.00256.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0033781329&partnerID=40&md5=5aef78c965115a3501550ef4a3770b78",Article,Final,"",Scopus,2-s2.0-0033781329
"Firpo, S., Galvao, A.F., Song, S.","15836352900; 26026548100; 56799488300","Measurement errors in quantile regression models",2017,"Journal of Econometrics",198,"1",,146,164,,8,10.1016/j.jeconom.2017.02.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014638118&partnerID=40&md5=a9652f5e0cf8b4fc7167640d82aa3f21",Article,Final,"",Scopus,2-s2.0-85014638118
"Firman, T., Wedekind, S., McMorrow, T.J., Ghosh, K.","55881076800; 57193095272; 57202383205; 12446622800","Maximum Caliber Can Characterize Genetic Switches with Multiple Hidden Species",2018,"Journal of Physical Chemistry B",122,"21",,5666,5677,,7,10.1021/acs.jpcb.7b12251,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048126861&partnerID=40&md5=28300dcd52c93341b7e85a465634793d",Article,Final,"",Scopus,2-s2.0-85048126861
"Firestone, S.M., Hayama, Y., Lau, M.S.Y., Yamamoto, T., Nishi, T., Bradhurst, R.A., Demirhan, H., Stevenson, M.A., Tsutsui, T.","13611197000; 35075840200; 56732525000; 7406801278; 56754662500; 56993950100; 21933428500; 57203055099; 7202119379","Transmission network reconstruction for foot- and-mouth disease outbreaks incorporating farm-level covariates",2020,"PLoS ONE",15,"7 July", e0235660,,,,5,10.1371/journal.pone.0235660,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088156849&partnerID=40&md5=473755a838c6d754fe413f678f8ab1b4",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85088156849
"Firat, M.Z.","7004483704","Multiple-trait Analysis Using Bayesian Methods in Animal Breeding: A Gibbs Sampling Approach | Hayvan Islahinda Bayesian Yöntemi Kullamlarak Çoklu Karakter Analizi: Gibbs Örneklemesi Yaklaşimi",2001,"Turkish Journal of Veterinary and Animal Sciences",25,"6",,855,862,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0035617702&partnerID=40&md5=19eba331fbde1d9ab0dc62bdf5ca0038",Article,Final,"",Scopus,2-s2.0-0035617702
"Fiorio, C.V., Hajivassiliou, V.A., Phillips, P.C.B.","18041654400; 6507706309; 35350444400","Bimodal t-ratios: The impact of thick tails on inference",2010,"Econometrics Journal",13,"2",,271,289,,8,10.1111/j.1368-423X.2010.00315.x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-77953751801&partnerID=40&md5=e31993253181ca78dfc517ffc53b7c8d",Article,Final,"All Open Access, Green",Scopus,2-s2.0-77953751801
"Fiorillo, C.D., Kim, S.L.","35615110800; 57190941163","The objective bayesian probability that an unknown positive real variable is greater than a known is 1/2",2021,"Philosophies",6,"1", 24,,,,,10.3390/philosophies6010024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85112548302&partnerID=40&md5=24ee8f105a068f6257088e8bae8b6017",Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85112548302
"Finthammer, M., Thimm, M.","23396932600; 25825630400","An integrated development environment for probabilistic relational reasoning",2012,"Logic Journal of the IGPL",20,"5",,831,871,,10,10.1093/jigpal/jzs009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84866919679&partnerID=40&md5=387bd74d7a6f276e4ba3429802405116",Article,Final,"",Scopus,2-s2.0-84866919679
"Finch, S., Cumming, G., Williams, J., Palmer, L., Griffith, E., Alders, C., Anderson, J., Goodman, O.","57203195425; 7102080914; 55728493900; 7202347577; 7005185209; 6505729526; 55605771940; 6603308433","Reform of statistical inference in psychology: The case of Memory &amp; Cognition",2004,"Behavior Research Methods, Instruments, and Computers",36,"2",,312,324,,33,10.3758/BF03195577,"https://www.scopus.com/inward/record.url?eid=2-s2.0-4444376609&partnerID=40&md5=1c589db97eb9f9ca1831480caad93c9b",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-4444376609
"Finch, S., Thomason, N., Cumming, G.","57203195425; 6603246605; 7102080914","Past and Future American Psychological Association Guidelines for Statistical Practice",2002,"Theory &amp; Psychology",12,"6",,825,853,,23,10.1177/0959354302126005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036921737&partnerID=40&md5=fce39018bbba5ee00bea859b655ffe56",Article,Final,"",Scopus,2-s2.0-0036921737
"Finch, J.H., McMaster, R.","7202929579; 57191321209","On categorical variables and non-parametric statistical inference in the pursuit of causal explanations",2002,"Cambridge Journal of Economics",26,"6",,753,772,,11,10.1093/cje/26.6.753,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036857707&partnerID=40&md5=c4f97e8305b02829839f03afeebb7f45",Article,Final,"",Scopus,2-s2.0-0036857707
"Filip, D.","55129374800","Management structure in the performance of Polish mutual funds: Does team spirit matter?",2019,"Scientific Papers of the University of Pardubice, Series D: Faculty of Economics and Administration",27,"3 47",,53,65,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082017888&partnerID=40&md5=0256415b36285717e4c9ce0b0d678c92",Review,Final,"",Scopus,2-s2.0-85082017888
